"NAME","DATE","SNOW"
"NY CITY CENTRAL PARK, NY US","2008-12-31",0.3
"NY CITY CENTRAL PARK, NY US","2009-01-10",1
"NY CITY CENTRAL PARK, NY US","2009-01-15",1
"NY CITY CENTRAL PARK, NY US","2009-01-18",2.2
"NY CITY CENTRAL PARK, NY US","2009-01-19",1.8
"NY CITY CENTRAL PARK, NY US","2009-01-28",3
"NY CITY CENTRAL PARK, NY US","2009-02-03",4.3
"NY CITY CENTRAL PARK, NY US","2009-03-01",1.8
"NY CITY CENTRAL PARK, NY US","2009-03-02",6.5
"NY CITY CENTRAL PARK, NY US","2009-12-19",9.1
"NY CITY CENTRAL PARK, NY US","2009-12-20",1.8
"NY CITY CENTRAL PARK, NY US","2009-12-31",1.5
"NY CITY CENTRAL PARK, NY US","2010-01-02",0.2
"NY CITY CENTRAL PARK, NY US","2010-01-08",0.6
"NY CITY CENTRAL PARK, NY US","2010-01-28",1.3
"NY CITY CENTRAL PARK, NY US","2010-02-02",0.8
"NY CITY CENTRAL PARK, NY US","2010-02-03",0.2
"NY CITY CENTRAL PARK, NY US","2010-02-10",10
"NY CITY CENTRAL PARK, NY US","2010-02-16",5
"NY CITY CENTRAL PARK, NY US","2010-02-25",9.4
"NY CITY CENTRAL PARK, NY US","2010-02-26",11.5
"NY CITY CENTRAL PARK, NY US","2010-12-14",0.1
"NY CITY CENTRAL PARK, NY US","2010-12-26",12.2
"NY CITY CENTRAL PARK, NY US","2010-12-27",7.8
"NY CITY CENTRAL PARK, NY US","2011-01-07",1.7
"NY CITY CENTRAL PARK, NY US","2011-01-11",3
"NY CITY CENTRAL PARK, NY US","2011-01-12",6.1
"NY CITY CENTRAL PARK, NY US","2011-01-18",1
"NY CITY CENTRAL PARK, NY US","2011-01-21",4.2
"NY CITY CENTRAL PARK, NY US","2011-01-25",1
"NY CITY CENTRAL PARK, NY US","2011-01-26",12.3
"NY CITY CENTRAL PARK, NY US","2011-01-27",6.7
"NY CITY CENTRAL PARK, NY US","2011-02-01",1.1
"NY CITY CENTRAL PARK, NY US","2011-02-02",0.5
"NY CITY CENTRAL PARK, NY US","2011-02-21",3.2
"NY CITY CENTRAL PARK, NY US","2011-03-24",1
"NY CITY CENTRAL PARK, NY US","2011-10-29",2.9
"NY CITY CENTRAL PARK, NY US","2012-01-21",4.3
"NY CITY CENTRAL PARK, NY US","2012-02-12",0.2
"NY CITY CENTRAL PARK, NY US","2012-11-07",4.3
"NY CITY CENTRAL PARK, NY US","2012-11-08",0.4
"NY CITY CENTRAL PARK, NY US","2012-12-26",0.4
"NY CITY CENTRAL PARK, NY US","2013-01-25",1.5
"NY CITY CENTRAL PARK, NY US","2013-02-02",0.1
"NY CITY CENTRAL PARK, NY US","2013-02-03",0.3
"NY CITY CENTRAL PARK, NY US","2013-02-05",0.4
"NY CITY CENTRAL PARK, NY US","2013-02-08",6.3
"NY CITY CENTRAL PARK, NY US","2013-02-09",5.1
"NY CITY CENTRAL PARK, NY US","2013-03-08",4
"NY CITY CENTRAL PARK, NY US","2013-03-16",0.3
"NY CITY CENTRAL PARK, NY US","2013-03-18",3
"NY CITY CENTRAL PARK, NY US","2013-12-08",0.7
"NY CITY CENTRAL PARK, NY US","2013-12-10",1.4
"NY CITY CENTRAL PARK, NY US","2013-12-14",5
"NY CITY CENTRAL PARK, NY US","2013-12-17",1.5
"NY CITY CENTRAL PARK, NY US","2014-01-02",3.1
"NY CITY CENTRAL PARK, NY US","2014-01-03",3.3
"NY CITY CENTRAL PARK, NY US","2014-01-21",11
"NY CITY CENTRAL PARK, NY US","2014-01-22",0.5
"NY CITY CENTRAL PARK, NY US","2014-01-25",1
"NY CITY CENTRAL PARK, NY US","2014-01-29",0.8
"NY CITY CENTRAL PARK, NY US","2014-02-03",8
"NY CITY CENTRAL PARK, NY US","2014-02-05",4
"NY CITY CENTRAL PARK, NY US","2014-02-09",1.2
"NY CITY CENTRAL PARK, NY US","2014-02-13",9.5
"NY CITY CENTRAL PARK, NY US","2014-02-14",3
"NY CITY CENTRAL PARK, NY US","2014-02-15",1.6
"NY CITY CENTRAL PARK, NY US","2014-02-18",1.5
"NY CITY CENTRAL PARK, NY US","2014-02-26",0.2
